lunaid,is128,homog_channels
10129_20180919,0,64
10173_20180801,0,70
10195_20180201,1,0
10644_20180227,1,61
10997_20180814,0,70
11299_20180511,1,62
11323_20180306,1,64
11451_20180220,1,63
11537_20180511,1,64
11543_20180806,0,70
11575_20190718,0,64
11626_20180404,1,64
11627_20180327,1,64
11629_20180326,1,64
11630_20180403,1,62
11631_20180515,1,60
11632_20180424,1,64
11633_20180510,1,64
11634_20180329,1,61
11638_20180430,1,64
11640_20180521,0,0
11641_20180524,1,64
11645_20180611,1,63
11647_20180522,1,64
11648_20180605,1,64
11649_20180516,1,64
11650_20180604,1,64
11651_20190816,0,64
11653_20180618,1,64
11655_20180711,1,64
11656_20180627,1,64
11657_20181220,0,64
11658_20180618,1,64
11661_20180801,0,70
11662_20180619,1,64
11664_20180725,1,63
11665_20180710,1,64
11667_20180709,1,64
11668_20170710,1,64
11669_20180724,1,63
11670_20180713,1,64
11672_20180828,0,64
11673_20180813,0,70
11675_20180821,0,64
11676_20180821,0,64
11678_20180116,0,64
11680_20180905,0,64
11681_20181102,0,64
11682_20181010,0,64
11683_20180927,0,64
11685_20181026,0,64
11686_20180924,0,64
11688_20190614,0,64
11689_20181127,0,64
11690_20180926,0,64
11692_20181102,0,64
11693_20181024,0,64
11695_20181109,0,64
11697_20181116,0,64
11698_20181207,0,64
11700_20181213,0,64
11701_20181101,0,64
11702_20181113,0,64
11703_20181022,0,64
11704_20181128,0,64
11705_20190128,0,64
11706_20190416,0,64
11707_20190305,0,64
11708_20181203,0,64
11709_20190115,0,64
11710_20190110,0,64
11711_20190213,0,64
11713_20181217,0,64
11715_20190220,0,64
11716_20181130,0,64
11718_20181126,0,64
11722_20190128,0,64
11723_20190114,0,64
11725_20181218,0,64
11726_20181211,0,64
11727_20190114,0,64
11728_20190206,0,64
11729_20190207,0,64
11731_20190220,0,64
11732_20190219,0,64
11733_20190724,0,64
11734_20190212,0,64
11735_20190802,0,64
11737_20190515,0,64
11738_20190213,0,64
11739_20190516,0,64
11741_20190422,0,64
11742_20190423,0,64
11745_20190408,0,64
11747_20190425,0,64
11748_20190429,0,64
11750_20190404,0,64
11751_20190321,0,64
11752_20190409,0,64
11753_20190415,0,64
11754_20190424,0,64
11756_20190401,0,64
11757_20190329,0,64
11758_20190506,0,64
11760_20190402,0,64
11761_20190430,0,64
11765_20190826,0,64
11767_20190813,0,64
11769_20190412,0,64
11770_20190806,0,64
11771_20190416,0,64
11780_20190814,0,64
11796_20190820,0,64
11799_20190903,0,64
